0,1542055184,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
0,1542055184,b2c79388a6a1,scih-machine_gps-service_1,0.10%,91.55MiB,3.607GiB,2.48%
0,1542055184,3f6c1609d992,scih-machine_mongodb_1,0.28%,51.08MiB,3.607GiB,1.38%
0,1542055184,35a0115bbd95,scih-machine_ui-service_1,3.82%,40.66MiB,3.607GiB,1.10%
1,1542055185,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
1,1542055185,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
1,1542055185,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
1,1542055185,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
2,1542055185,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
2,1542055185,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
2,1542055185,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
2,1542055185,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
3,1542055185,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
3,1542055185,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
3,1542055185,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
3,1542055185,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
4,1542055185,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
4,1542055185,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
4,1542055185,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
4,1542055185,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
5,1542055185,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
5,1542055185,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
5,1542055185,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
5,1542055185,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
6,1542055186,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
6,1542055186,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
6,1542055186,3f6c1609d992,scih-machine_mongodb_1,0.31%,51.08MiB,3.607GiB,1.38%
6,1542055186,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
7,1542055186,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
7,1542055186,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
7,1542055186,3f6c1609d992,scih-machine_mongodb_1,0.31%,51.08MiB,3.607GiB,1.38%
7,1542055186,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
8,1542055186,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
8,1542055186,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
8,1542055186,3f6c1609d992,scih-machine_mongodb_1,0.31%,51.08MiB,3.607GiB,1.38%
8,1542055186,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
9,1542055186,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
9,1542055186,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
9,1542055186,3f6c1609d992,scih-machine_mongodb_1,0.31%,51.08MiB,3.607GiB,1.38%
9,1542055186,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
10,1542055186,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
10,1542055186,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
10,1542055186,3f6c1609d992,scih-machine_mongodb_1,0.31%,51.08MiB,3.607GiB,1.38%
10,1542055186,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
11,1542055187,684f50dc2b4d,scih-machine_api-gateway_1,0.01%,82.34MiB,3.607GiB,2.23%
11,1542055187,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
11,1542055187,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
11,1542055187,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
12,1542055187,684f50dc2b4d,scih-machine_api-gateway_1,0.01%,82.34MiB,3.607GiB,2.23%
12,1542055187,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
12,1542055187,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
12,1542055187,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
13,1542055187,684f50dc2b4d,scih-machine_api-gateway_1,0.01%,82.34MiB,3.607GiB,2.23%
13,1542055187,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
13,1542055187,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
13,1542055187,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
14,1542055187,684f50dc2b4d,scih-machine_api-gateway_1,0.01%,82.34MiB,3.607GiB,2.23%
14,1542055187,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
14,1542055187,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
14,1542055187,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
15,1542055187,684f50dc2b4d,scih-machine_api-gateway_1,0.01%,82.34MiB,3.607GiB,2.23%
15,1542055187,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
15,1542055187,3f6c1609d992,scih-machine_mongodb_1,0.29%,51.08MiB,3.607GiB,1.38%
15,1542055187,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
16,1542055188,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
16,1542055188,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
16,1542055188,3f6c1609d992,scih-machine_mongodb_1,0.27%,51.08MiB,3.607GiB,1.38%
16,1542055188,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
17,1542055188,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
17,1542055188,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
17,1542055188,3f6c1609d992,scih-machine_mongodb_1,0.27%,51.08MiB,3.607GiB,1.38%
17,1542055188,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
18,1542055188,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
18,1542055188,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
18,1542055188,3f6c1609d992,scih-machine_mongodb_1,0.27%,51.08MiB,3.607GiB,1.38%
18,1542055188,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
19,1542055188,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
19,1542055188,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
19,1542055188,3f6c1609d992,scih-machine_mongodb_1,0.27%,51.08MiB,3.607GiB,1.38%
19,1542055188,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
20,1542055188,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
20,1542055188,b2c79388a6a1,scih-machine_gps-service_1,0.00%,91.55MiB,3.607GiB,2.48%
20,1542055188,3f6c1609d992,scih-machine_mongodb_1,0.27%,51.08MiB,3.607GiB,1.38%
20,1542055188,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
21,1542055189,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
21,1542055189,b2c79388a6a1,scih-machine_gps-service_1,0.10%,91.55MiB,3.607GiB,2.48%
21,1542055189,3f6c1609d992,scih-machine_mongodb_1,1.86%,51.08MiB,3.607GiB,1.38%
21,1542055189,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
22,1542055189,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
22,1542055189,b2c79388a6a1,scih-machine_gps-service_1,0.10%,91.55MiB,3.607GiB,2.48%
22,1542055189,3f6c1609d992,scih-machine_mongodb_1,1.86%,51.08MiB,3.607GiB,1.38%
22,1542055189,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
23,1542055189,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
23,1542055189,b2c79388a6a1,scih-machine_gps-service_1,0.10%,91.55MiB,3.607GiB,2.48%
23,1542055189,3f6c1609d992,scih-machine_mongodb_1,1.86%,51.08MiB,3.607GiB,1.38%
23,1542055189,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
24,1542055189,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
24,1542055189,b2c79388a6a1,scih-machine_gps-service_1,0.10%,91.55MiB,3.607GiB,2.48%
24,1542055189,3f6c1609d992,scih-machine_mongodb_1,1.86%,51.08MiB,3.607GiB,1.38%
24,1542055189,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
25,1542055189,684f50dc2b4d,scih-machine_api-gateway_1,0.00%,82.34MiB,3.607GiB,2.23%
25,1542055189,b2c79388a6a1,scih-machine_gps-service_1,0.10%,91.55MiB,3.607GiB,2.48%
25,1542055189,3f6c1609d992,scih-machine_mongodb_1,1.86%,51.08MiB,3.607GiB,1.38%
25,1542055189,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
26,1542055190,684f50dc2b4d,scih-machine_api-gateway_1,0.73%,82.43MiB,3.607GiB,2.23%
26,1542055190,b2c79388a6a1,scih-machine_gps-service_1,0.47%,91.55MiB,3.607GiB,2.48%
26,1542055190,3f6c1609d992,scih-machine_mongodb_1,0.36%,51.08MiB,3.607GiB,1.38%
26,1542055190,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
27,1542055190,684f50dc2b4d,scih-machine_api-gateway_1,0.73%,82.43MiB,3.607GiB,2.23%
27,1542055190,b2c79388a6a1,scih-machine_gps-service_1,0.47%,91.55MiB,3.607GiB,2.48%
27,1542055190,3f6c1609d992,scih-machine_mongodb_1,0.36%,51.08MiB,3.607GiB,1.38%
27,1542055190,35a0115bbd95,scih-machine_ui-service_1,0.00%,40.66MiB,3.607GiB,1.10%
28,1542055190,684f50dc2b4d,scih-machine_api-gateway_1,0.73%,82.43MiB,3.607GiB,2.23%
28,1542055190,b2c79388a6a1,scih-machine_gps-service_1,0.47%,91.55MiB,3.607GiB,2.48%
